,VaR violations,violations,n,kupiec_p,christoffersen_p,dq_stat1,dq_p1,dq_stat4,dq_p4,acerbi_szekely_stat,acerbi_szekely_crit,acerbi_szekely_p,mae_es,empirical_es_loss,mean_fz_loss,median_fz_loss
Parametric_t,0.05263157894736842,13.0,247.0,0.8507018948913279,0.1380942004363992,3.197407516811177,0.20215839434989114,4.143314075742502,0.5289723146442193,0.3597405989548681,-0.5745295756668131,0.821,3.4019316229916,-9.70620452448769,2.419407422635763,1.8148849872221036
Historical,0.05263157894736842,13.0,247.0,0.8507018948913279,0.6525625940795172,0.23655540303383168,0.8884492946368473,1.1086587436332778,0.9533343881627079,0.3105257772574206,-0.5745295756668131,0.7928,4.0750160081895395,-9.783863506341616,2.4329312723122505,1.8701171266052516
Normal,0.05263157894736842,13.0,247.0,0.8507018948913279,0.1380942004363992,3.197407516811177,0.20215839434989114,4.143314075742502,0.5289723146442193,0.38236589842234614,-0.5745295756668131,0.8344,3.3378873234441024,-9.70620452448769,2.422901212140884,1.8204070250085163
GARCH,0.0728744939271255,18.0,247.0,0.12141957019759653,0.4968814828221001,2.6118805786395756,0.27091767424729785,3.9339083172447578,0.558970317543698,0.5581433874504393,-0.5745295756668131,0.9081,2.5894061914411433,-8.388241624422262,2.2217512402042154,1.7482835718646197
benchmark,0.044534412955465584,11.0,247.0,0.6882240676304606,0.45126278795972774,1.065051409956225,0.5871202030068834,3.0427997657099746,0.6933872872726868,0.10537250151359112,-0.5745295756668132,0.6415,3.2762969074523753,-10.200209258487542,2.263866372776943,1.841149572394608
