,VaR violations,violations,n,kupiec_p,christoffersen_p,dq_stat1,dq_p1,dq_stat4,dq_p4,acerbi_szekely_stat,acerbi_szekely_crit,acerbi_szekely_p,mae_es,empirical_es_loss,mean_fz_loss,median_fz_loss
Parametric_t,0.03225806451612903,8.0,248.0,0.17152233614990575,0.46423490267565315,1.795419511120899,0.40750187073115807,3.4570521938942895,0.6298959098544265,-0.40860590651973816,-0.5739299857704068,0.1495,0.5613251698411277,-2.918568257082647,0.9974418101812897,0.8257605040154343
Historical,0.03225806451612903,8.0,248.0,0.17152233614990575,0.46423490267565315,1.795419511120899,0.40750187073115807,3.4570521938942895,0.6298959098544265,-0.4313245648071219,-0.5739299857704068,0.1326,0.7669993929848569,-2.918568257082647,1.0110558713329756,0.8501591211286121
Normal,0.028225806451612902,7.0,248.0,0.08760584001495941,0.5227871759605076,2.56140350877193,0.2778422550031434,4.5933547991678285,0.46749086936196416,-0.43054097687662063,-0.5739299857704068,0.1329,0.3437570267637212,-3.0243707778757796,1.0111650143728397,0.8497273589565433
GARCH,0.04032258064516129,10.0,248.0,0.4699310818591813,0.35821756077507827,0.830335332000888,0.6602295733723722,6.7090878321204865,0.2431902473847627,-0.16925754272336213,-0.5739299857704068,0.371,0.43078640523375206,-2.673142027212097,1.0014382154008916,0.798490538182157
benchmark,0.036290322580645164,9.0,248.0,0.2986220093650056,0.40929948525635784,1.2176028306059263,0.5440025115576355,8.134150637638259,0.14899565060775188,-0.3289916375355342,-0.5739299857704068,0.2168,0.39746949370346357,-2.5764106694965316,0.910996478276355,0.7663878838774256
