Date,Stock,Tail,Fallback,Reason
2016-12-07,SBIN.NS,upper,False,
2016-12-07,SBIN.NS,lower,False,
2016-12-21,INFY.NS,upper,False,
2016-12-21,INFY.NS,lower,False,
2016-12-21,SBIN.NS,upper,False,
2016-12-21,SBIN.NS,lower,False,
2017-01-04,INFY.NS,upper,False,
2017-01-04,INFY.NS,lower,False,
2017-01-04,SBIN.NS,upper,False,
2017-01-04,SBIN.NS,lower,False,
2017-01-18,INFY.NS,upper,False,
2017-01-18,INFY.NS,lower,False,
2017-01-18,SBIN.NS,upper,False,
2017-01-18,SBIN.NS,lower,False,
2017-02-02,INFY.NS,upper,False,
2017-02-02,INFY.NS,lower,False,
2017-02-02,SBIN.NS,upper,False,
2017-02-02,SBIN.NS,lower,False,
2017-02-16,INFY.NS,upper,False,
2017-02-16,INFY.NS,lower,False,
2017-02-16,SBIN.NS,upper,False,
2017-02-16,SBIN.NS,lower,False,
2017-03-03,INFY.NS,upper,False,
2017-03-03,INFY.NS,lower,False,
2017-03-03,SBIN.NS,upper,False,
2017-03-03,SBIN.NS,lower,False,
2017-03-20,INFY.NS,upper,False,
2017-03-20,INFY.NS,lower,False,
2017-03-20,SBIN.NS,upper,False,
2017-03-20,SBIN.NS,lower,False,
2017-04-03,INFY.NS,upper,False,
2017-04-03,INFY.NS,lower,False,
2017-04-03,SBIN.NS,upper,False,
2017-04-03,SBIN.NS,lower,False,
2017-04-19,INFY.NS,upper,False,
2017-04-19,INFY.NS,lower,False,
2017-04-19,SBIN.NS,upper,False,
2017-04-19,SBIN.NS,lower,False,
2017-05-04,INFY.NS,upper,False,
2017-05-04,INFY.NS,lower,False,
2017-05-04,SBIN.NS,upper,False,
2017-05-04,SBIN.NS,lower,False,
2017-05-18,INFY.NS,upper,False,
2017-05-18,INFY.NS,lower,False,
2017-05-18,SBIN.NS,upper,False,
2017-05-18,SBIN.NS,lower,False,
2017-06-01,INFY.NS,upper,False,
2017-06-01,INFY.NS,lower,False,
2017-06-01,SBIN.NS,upper,False,
2017-06-01,SBIN.NS,lower,False,
2017-06-15,INFY.NS,upper,False,
2017-06-15,INFY.NS,lower,False,
2017-06-15,SBIN.NS,upper,False,
