Date,Actual,VaR_5%,ES_5%
2015-05-22,-0.554657337563845,-1.8007054056518885,-2.494292152989072
2015-06-05,-0.49770950247895496,-1.8844574222449901,-2.572483224531552
2015-06-19,-0.5534493768049127,-1.7842002087834574,-2.5159227208171187
2015-07-03,0.043916144936780005,-1.7523713579382156,-2.492259216539973
2015-07-17,0.05953978301312002,-1.7837243639512157,-2.4679325723959544
2015-07-31,1.868055291373905,-1.9001416745812074,-2.702057243261571
2015-08-14,1.2122468317372899,-1.9539826257081099,-2.6840354686785157
2015-08-28,0.9424055582226349,-2.048549042142708,-2.93455065918709
2015-09-11,0.0077529872685375145,-2.0218121872087287,-2.775486009987293
2015-09-29,0.7472013809507225,-2.012679728487509,-2.8226246445610594
2015-10-14,-1.0992288779103674,-1.8233644931772819,-2.5497555687508053
2015-10-29,-0.92083616249865,-1.7927568067514792,-2.4846963110161635
2015-11-16,-0.2769275685106699,-1.7346802830115728,-2.330932034437485
2015-12-01,0.23461970032962265,-1.7239125465249057,-2.392033464916489
2015-12-15,1.3404344799070125,-1.742022037026531,-2.4060430070328525
2015-12-30,-0.5954694397266875,-1.5450710394897815,-2.2163242692689518
2016-01-13,2.033355815489233,-1.9191611315224784,-2.637137411489889
2016-01-28,0.47113265051356246,-2.032427775030264,-2.7815256596090694
2016-02-11,-3.454920490317568,-2.3204125461834426,-3.180957442087167
2016-02-25,-1.5568271106422649,-2.328573830111537,-3.190915066402853
2016-03-11,0.7804874582431225,-2.1428702046218264,-2.9429598567944533
2016-03-29,0.5489701742749875,-1.9064131285289756,-2.5471451901712707
2016-04-12,0.7250315102266275,-1.8634193905899719,-2.5886724602192537
2016-04-29,-0.844306390092575,-1.8379940833383936,-2.4966647567543876
2016-05-13,-0.9882941081325974,-1.8841768975501556,-2.5750195590145157
2016-05-27,2.4217651282212924,-1.8397964432243343,-2.569235589305119
2016-06-10,-1.1877607801724275,-1.9514894130622198,-2.75067629834048
2016-06-24,-3.4429725486811003,-1.675820739510031,-2.30449690510848
2016-07-11,2.2809812053506375,-1.8030348733070043,-2.4095329819501776
2016-07-25,1.09301675356003,-1.7916299010927745,-2.540436863130899
2016-08-08,0.33310274343261503,-1.7427559971667277,-2.4859299107843307
2016-08-23,0.36090429157669257,-1.8831280006997404,-2.5581289672132868
2016-09-07,0.6736367973966024,-1.9240883545921754,-2.6770885367571053
2016-09-22,1.0413394152037976,-1.7071591885762143,-2.4422478876695477
2016-10-06,-0.7164479478530599,-1.7465917486327498,-2.4624315487266273
2016-10-24,0.764512144275415,-1.7122064586204284,-2.3970692678457137
2016-11-08,1.938000089957845,-1.747195473598868,-2.5710446370381725
2016-11-23,1.0032100201750775,-2.426623263331911,-3.4230197356543712
2016-12-07,-0.17174584538926246,-1.7360173081554235,-2.4550499239525534
2016-12-21,-0.5755701652474026,-1.8055725110717156,-2.471608766846935
2017-01-04,-0.07012582814565255,-1.691054275611597,-2.4139635173578617
2017-01-18,0.7604541200288375,-1.6724685254936726,-2.424058433250394
2017-02-02,-0.0022372014189625256,-1.8332651627853855,-2.56661043331352
2017-02-16,1.3282230798236074,-2.827730109588616,-4.046174931807271
2017-03-03,-0.12397714577972252,-1.6779832558767132,-2.3736176070510524
2017-03-20,-0.6187953111130925,-1.7241429615617203,-2.3900428947014505
2017-04-03,0.1334222904535125,-1.6596223099324305,-2.3918448795550007
2017-04-19,-0.7897256440544025,-1.6593081065144908,-2.3551581457731734
2017-05-04,0.9034279817361726,-1.7007856850639151,-2.424112029025586
2017-05-18,-1.2585001661564374,-1.8003336956650418,-2.505658480426423
2017-06-01,0.8433030089224975,-1.6750720281411131,-2.293157079883825
2017-06-15,-0.6091107800271276,-1.5890915997738917,-2.1417556030941918
2017-06-30,-0.11847530763831249,-1.664555595311999,-2.235506948004765
2017-07-14,-0.20724781012287502,-1.5399247850933864,-2.055356600148471
2017-07-28,0.36805612044848757,-1.6197409860628122,-2.21062905820506
2017-08-11,-2.033956105402065,-2.8672690733647737,-4.05517662953635
2017-08-29,-0.9791137093904451,-1.7379663100945988,-2.3458813057399066
2017-09-12,1.8348221900193677,-1.4657192831486443,-2.057761516725176
2017-09-26,-0.17400682896627995,-1.5916858239944727,-2.2356419450444283
2017-10-11,-0.9387547897607875,-1.5750825918717706,-2.209278769860764
2017-10-26,-0.14784057514589244,-3.2959180618594637,-4.407434292136662
2017-11-09,0.8553014592636875,-2.362740157159295,-3.0985551365816613
2017-11-23,0.4156371645679776,-1.7308691304365997,-2.441820524468582
2017-12-07,1.1848973739722477,-1.7264738784166191,-2.4723701160975553
2017-12-21,-0.2756131877647525,-1.575917346553172,-2.13491659821834
2018-01-05,-0.08356240030932752,-1.5480006259907344,-2.1859472672386544
2018-01-19,0.33574727993598497,-1.60660599908556,-2.3394699055134147
2018-02-05,0.41954548185545504,-1.892029594597362,-2.547721138485609
2018-02-20,0.1818679522589175,-1.7886861097899547,-2.5074381313172704
2018-03-07,-1.0355757032580675,-1.9160668113078558,-2.7588385989043926
2018-03-21,-0.37064241431,-1.64030390594599,-2.203950018096316
2018-04-06,-0.4166181308557226,-1.7928930082017607,-2.6277524361941413
2018-04-20,0.8419845693738975,-1.5167503571839622,-2.0788836744697856
2018-05-07,1.3007598351312524,-1.6115012912189017,-2.366161049122462
2018-05-21,-0.649678557354565,-1.8940617263296162,-2.7245035758509046
2018-06-04,-0.4260438731567126,-1.6359519809906893,-2.233254047596399
2018-06-18,-0.04506610158125507,-1.7276085082521926,-2.420998955881006
2018-07-02,0.26470647962706,-1.6903598969293852,-2.394772655743519
2018-07-16,-1.3043558400421875,-1.537538801151716,-2.22944445271383
2018-07-30,0.8825794982281001,-1.779128082310367,-2.3938051947266827
2018-08-13,-0.9263308200380523,-1.9955489051547226,-2.8514857365814583
2018-08-29,0.041448106416292485,-1.5843990858435641,-2.2961887785823523
2018-09-12,0.6288487913969525,-1.8660596455127771,-2.482388759662452
2018-09-28,-0.1592648676032525,-2.1224622906254176,-2.7485916570211355
