Date,Stock,Tail,Fallback,Reason
2015-05-22,HINDUNILVR.NS,upper,False,
2015-05-22,HINDUNILVR.NS,lower,False,
2015-05-22,INFY.NS,upper,False,
2015-05-22,INFY.NS,lower,False,
2015-05-22,SBIN.NS,upper,True,invalid
2015-05-22,SBIN.NS,lower,False,
2015-05-22,TATAMOTORS.NS,upper,False,
2015-05-22,TATAMOTORS.NS,lower,True,sparse
2015-05-25,HINDUNILVR.NS,upper,False,
2015-05-25,HINDUNILVR.NS,lower,False,
2015-05-25,INFY.NS,upper,False,
2015-05-25,INFY.NS,lower,False,
2015-05-25,SBIN.NS,upper,True,invalid
2015-05-25,SBIN.NS,lower,False,
2015-05-25,TATAMOTORS.NS,upper,False,
2015-05-25,TATAMOTORS.NS,lower,True,sparse
2015-05-26,HINDUNILVR.NS,upper,False,
2015-05-26,HINDUNILVR.NS,lower,False,
2015-05-26,INFY.NS,upper,False,
2015-05-26,INFY.NS,lower,False,
2015-05-26,SBIN.NS,upper,True,invalid
2015-05-26,SBIN.NS,lower,False,
2015-05-26,TATAMOTORS.NS,upper,False,
2015-05-26,TATAMOTORS.NS,lower,True,sparse
2015-05-27,HINDUNILVR.NS,upper,False,
2015-05-27,HINDUNILVR.NS,lower,False,
2015-05-27,INFY.NS,upper,False,
2015-05-27,INFY.NS,lower,False,
2015-05-27,SBIN.NS,upper,True,invalid
2015-05-27,SBIN.NS,lower,False,
2015-05-27,TATAMOTORS.NS,upper,False,
2015-05-27,TATAMOTORS.NS,lower,True,sparse
2015-05-28,HINDUNILVR.NS,upper,False,
2015-05-28,HINDUNILVR.NS,lower,False,
2015-05-28,INFY.NS,upper,False,
2015-05-28,INFY.NS,lower,False,
2015-05-28,SBIN.NS,upper,False,
2015-05-28,SBIN.NS,lower,False,
2015-05-28,TATAMOTORS.NS,upper,False,
2015-05-28,TATAMOTORS.NS,lower,True,sparse
2015-05-29,HINDUNILVR.NS,upper,False,
2015-05-29,HINDUNILVR.NS,lower,False,
2015-05-29,INFY.NS,upper,False,
2015-05-29,INFY.NS,lower,False,
2015-05-29,SBIN.NS,upper,True,invalid
2015-05-29,SBIN.NS,lower,False,
2015-05-29,TATAMOTORS.NS,upper,False,
2015-05-29,TATAMOTORS.NS,lower,True,sparse
2015-06-01,HINDUNILVR.NS,upper,False,
2015-06-01,HINDUNILVR.NS,lower,False,
2015-06-01,INFY.NS,upper,False,
2015-06-01,INFY.NS,lower,False,
2015-06-01,SBIN.NS,upper,True,invalid
2015-06-01,SBIN.NS,lower,False,
2015-06-01,TATAMOTORS.NS,upper,False,
2015-06-01,TATAMOTORS.NS,lower,True,sparse
2015-06-02,HINDUNILVR.NS,upper,False,
2015-06-02,HINDUNILVR.NS,lower,False,
2015-06-02,INFY.NS,upper,False,
2015-06-02,INFY.NS,lower,False,
2015-06-02,SBIN.NS,upper,True,invalid
2015-06-02,SBIN.NS,lower,False,
2015-06-02,TATAMOTORS.NS,upper,False,
2015-06-02,TATAMOTORS.NS,lower,True,sparse
2015-06-03,HINDUNILVR.NS,upper,False,
2015-06-03,HINDUNILVR.NS,lower,False,
2015-06-03,INFY.NS,upper,False,
2015-06-03,INFY.NS,lower,False,
2015-06-03,SBIN.NS,upper,True,invalid
2015-06-03,SBIN.NS,lower,False,
2015-06-03,TATAMOTORS.NS,upper,False,
2015-06-03,TATAMOTORS.NS,lower,True,sparse
2015-06-04,HINDUNILVR.NS,upper,False,
2015-06-04,HINDUNILVR.NS,lower,False,
2015-06-04,INFY.NS,upper,False,
2015-06-04,INFY.NS,lower,False,
2015-06-04,SBIN.NS,upper,False,
2015-06-04,SBIN.NS,lower,False,
2015-06-04,TATAMOTORS.NS,upper,False,
2015-06-04,TATAMOTORS.NS,lower,True,sparse
2015-06-05,HINDUNILVR.NS,upper,False,
2015-06-05,HINDUNILVR.NS,lower,False,
2015-06-05,INFY.NS,upper,False,
2015-06-05,INFY.NS,lower,False,
2015-06-05,SBIN.NS,upper,False,
2015-06-05,SBIN.NS,lower,False,
2015-06-05,TATAMOTORS.NS,upper,False,
2015-06-05,TATAMOTORS.NS,lower,True,sparse
2015-06-08,HINDUNILVR.NS,upper,False,
2015-06-08,HINDUNILVR.NS,lower,False,
2015-06-08,INFY.NS,upper,False,
2015-06-08,INFY.NS,lower,False,
2015-06-08,SBIN.NS,upper,False,
2015-06-08,SBIN.NS,lower,False,
2015-06-08,TATAMOTORS.NS,upper,False,
2015-06-08,TATAMOTORS.NS,lower,True,sparse
2015-06-09,HINDUNILVR.NS,upper,False,
2015-06-09,HINDUNILVR.NS,lower,False,
2015-06-09,INFY.NS,upper,False,
2015-06-09,INFY.NS,lower,False,
2015-06-09,SBIN.NS,upper,False,
2015-06-09,SBIN.NS,lower,False,
2015-06-09,TATAMOTORS.NS,upper,False,
2015-06-09,TATAMOTORS.NS,lower,True,sparse
2015-06-10,HINDUNILVR.NS,upper,False,
2015-06-10,HINDUNILVR.NS,lower,False,
2015-06-10,INFY.NS,upper,False,
2015-06-10,INFY.NS,lower,False,
2015-06-10,SBIN.NS,upper,False,
2015-06-10,SBIN.NS,lower,False,
2015-06-10,TATAMOTORS.NS,upper,False,
2015-06-10,TATAMOTORS.NS,lower,True,invalid
2015-06-11,HINDUNILVR.NS,upper,False,
2015-06-11,HINDUNILVR.NS,lower,False,
2015-06-11,INFY.NS,upper,False,
2015-06-11,INFY.NS,lower,False,
2015-06-11,SBIN.NS,upper,False,
2015-06-11,SBIN.NS,lower,False,
2015-06-11,TATAMOTORS.NS,upper,False,
2015-06-11,TATAMOTORS.NS,lower,True,sparse
2015-06-12,HINDUNILVR.NS,upper,False,
2015-06-12,HINDUNILVR.NS,lower,False,
2015-06-12,INFY.NS,upper,False,
2015-06-12,INFY.NS,lower,False,
2015-06-12,SBIN.NS,upper,False,
2015-06-12,SBIN.NS,lower,False,
2015-06-12,TATAMOTORS.NS,upper,False,
2015-06-12,TATAMOTORS.NS,lower,True,sparse
2015-06-15,HINDUNILVR.NS,upper,False,
2015-06-15,HINDUNILVR.NS,lower,False,
2015-06-15,INFY.NS,upper,False,
2015-06-15,INFY.NS,lower,False,
2015-06-15,SBIN.NS,upper,False,
2015-06-15,SBIN.NS,lower,False,
2015-06-15,TATAMOTORS.NS,upper,False,
2015-06-15,TATAMOTORS.NS,lower,True,sparse
2015-06-16,HINDUNILVR.NS,upper,False,
2015-06-16,HINDUNILVR.NS,lower,False,
2015-06-16,INFY.NS,upper,False,
2015-06-16,INFY.NS,lower,False,
2015-06-16,SBIN.NS,upper,False,
2015-06-16,SBIN.NS,lower,False,
