Date,HINDUNILVR.NS,INFY.NS,SBIN.NS,TATAMOTORS.NS
2021-05-10,0.8355628769101732,0.17956680501838979,0.7316580955068819,0.9527940810362046
2021-05-11,0.10037722193149284,0.26290132609025774,0.7242476059328647,0.5338638991722702
2021-05-12,0.010704149871940334,0.3797716253498562,0.743917951071657,0.9409463248647832
2021-05-14,0.9517782002654596,0.22941840516004897,0.06537283192389011,0.02814915666644311
2021-05-17,0.5242811328221134,0.7903236237036984,0.9970011457687501,0.8702397384321421
2021-05-18,0.46316809764266786,0.7491837719813207,0.4308822960797377,0.9282846278639449
2021-05-19,0.24591246582005433,0.3979068759175598,0.6254293417465179,0.01911028417946795
2021-05-20,0.22445511161825416,0.5428967519737369,0.4742358498646402,0.19243159268677262
2021-05-21,0.7887259994480844,0.8282876405487622,0.9932514610735451,0.7585891451641046
2021-05-24,0.13603865268555873,0.3140971459537676,0.9234427805314885,0.4115054942841591
2021-05-25,0.6333323990524977,0.7986885161172186,0.4899388445157251,0.7087911014932553
2021-05-26,0.6957354161056506,0.9669667809775765,0.5624984360343847,0.5034967798017587
2021-05-27,0.11524577242127987,0.6046274988488181,0.9680736607153054,0.7189398512309266
2021-05-28,0.38366095449684123,0.5523157846738593,0.26799706428795333,0.49493588866287563
2021-05-31,0.8019166155878232,0.5779447275354442,0.644005452482038,0.4811016784565275
2021-06-01,0.8072380994662869,0.31232794945714965,0.9163251090880236,0.4207522023624434
2021-06-02,0.5267146603374641,0.2724138506776924,0.7970445089427247,0.8335649456257174
2021-06-03,0.5956327440787574,0.7476941767351118,0.8579230072138886,0.7099728364516494
2021-06-04,0.16206956169705344,0.37475988296108975,0.13386281970185504,0.9531913826058549
2021-06-07,0.4264583385490299,0.5856855342269147,0.36354213939876134,0.9565012561466177
2021-06-08,0.8197441187752904,0.9093329967056554,0.16281581785675364,0.8791612097977856
2021-06-09,0.4523286998537086,0.5422638232991098,0.14535813058779903,0.06131757435305426
2021-06-10,0.8513542695953917,0.70522829259607,0.9426758454532842,0.5768738706655844
2021-06-11,0.27228859282451523,0.898334252987095,0.2983107248694213,0.8258623752930151
2021-06-14,0.77183149797367,0.8009360602509591,0.5205612509426035,0.8022653227425577
2021-06-15,0.89290322872722,0.7569034633631575,0.3886454318207171,0.24488694788366333
2021-06-16,0.7945384265866187,0.6461386309571836,0.2131597128321663,0.23280183975453472
2021-06-17,0.7064280240445854,0.7993590255010894,0.13486739880534954,0.21008804538455297
2021-06-18,0.9873017880032776,0.6740553551096364,0.10119591243612937,0.06905375579394728
2021-06-21,0.9089519476974137,0.40549832716085155,0.8467259321320172,0.26167212124251715
2021-06-22,0.1609998664064779,0.7452147534295082,0.38161844525138594,0.7396823987780103
2021-06-23,0.30206076422929407,0.28363703716483946,0.47488705431069245,0.274209394584106
2021-06-24,0.6772875962782354,0.9894186438321456,0.3262367788436198,0.4313921231302283
2021-06-25,0.05511154630922409,0.7567911607313909,0.9685266888695844,0.8171724729573706
2021-06-28,0.6915653572984133,0.43038141046827083,0.3288766902464658,0.7308670449063582
2021-06-29,0.9069339829476458,0.2920931853836435,0.15655454487496895,0.37236060897093043
2021-06-30,0.1870441353607092,0.8211201557794259,0.30006536348537743,0.3099919240230633
2021-07-01,0.6199705132565759,0.13649367087401604,0.5624132154364809,0.8081770709726457
2021-07-02,0.6830381857062462,0.6388751207307043,0.7807995717713818,0.5352925841415802
2021-07-05,0.7225379435302678,0.7233283333982929,0.920128355137738,0.5818419590811146
2021-07-06,0.12497938111517094,0.18035792072686502,0.26761135253707213,0.0007127344942039778
2021-07-07,0.6635737470749413,0.5329071248169063,0.7054903056583961,0.4999797744809328
2021-07-08,0.07762272977357723,0.38943264911949055,0.06747530279601814,0.1177621628843337
2021-07-09,0.5589396661941127,0.5301765421107771,0.4111372938187997,0.4883896307593423
2021-07-12,0.3524052244730577,0.19471127353452594,0.7449446397715427,0.5538964362395745
2021-07-13,0.34037568590668305,0.4119974630952916,0.6021916796798273,0.703931362966907
2021-07-14,0.14808992539789698,0.9394548286168762,0.6284674109519047,0.38569452176067115
2021-07-15,0.4303083058795859,0.5696860306374842,0.516438154498373,0.5374921981495143
2021-07-16,0.6097425409834583,0.09182240372326703,0.32391932682092817,0.5643996496269794
2021-07-19,0.3180927562184732,0.23376323649254502,0.29779602205823974,0.27452253348103894
2021-07-20,0.882857573322319,0.6614422929565144,0.09264405278761206,0.08184673000002529
2021-07-22,0.020302706187692515,0.9643120662612975,0.5489549790480296,0.5155014213187349
2021-07-23,0.1458239908466145,0.49104313999015337,0.8770168610629172,0.07788887439717777
2021-07-26,0.29097314446216127,0.7581551703483458,0.14663009544212974,0.28645694551127665
2021-07-27,0.3547982675210003,0.45048672474112006,0.8527370202103572,0.3283217575190597
2021-07-28,0.8192464082409516,0.5499132210631954,0.19424634527467213,0.07354747746298443
2021-07-29,0.10774258401720731,0.7295786331015279,0.9846105396432605,0.9305390474433339
2021-07-30,0.4476957104653042,0.33446701223496256,0.09233533543686488,0.5700315117667286
2021-08-02,0.48993338910645934,0.8576735560613474,0.6536599636741197,0.7244436191520027
2021-08-03,0.9803910775627531,0.877019663692763,0.9493289734712378,0.9066454323191016
2021-08-04,0.33573694282456606,0.3545295170839785,0.9236655990886503,0.11587411238983897
2021-08-05,0.1693080074762485,0.5744080748100168,0.024383900704091136,0.6121814572327298
2021-08-06,0.7523855778256489,0.4038015915788551,0.21134460499321905,0.5132127378212937
2021-08-09,0.7575327919965746,0.751802433463786,0.33491622527589604,0.2977255979777591
2021-08-10,0.4522751221169081,0.7637045544545713,0.11989924129776189,0.1658502222207042
2021-08-11,0.6813797225550714,0.4878869136862658,0.5789834556224064,0.5961937719242404
2021-08-12,0.5507587122776266,0.7314633976918913,0.3892054489104665,0.9726693757734949
2021-08-13,0.7440372078027407,0.8644956634082445,0.7775828324842046,0.5877695416563834
2021-08-16,0.8559519116901089,0.32216368956545216,0.11285999729771964,0.19728933014013839
2021-08-17,0.9830312540043842,0.9465638585192214,0.24623824270469993,0.09931548541202732
2021-08-18,0.5913018860996307,0.32668632611911275,0.3270640345750564,0.16829585247759507
2021-08-20,0.9995463070773833,0.46955549974114663,0.018595459092528393,0.035673214330836256
2021-08-23,0.768956845504288,0.6026920633142561,0.630955838932404,0.1313603026211972
2021-08-24,0.49291141109606373,0.18353518655282286,0.8903227181367424,0.6946761027146884
2021-08-25,0.6853160768752342,0.7551279471075125,0.36656061719295774,0.8006477881327093
2021-08-26,0.7911157963487659,0.32280772665534946,0.13975859667763244,0.475779174983606
2021-08-27,0.6899604689646158,0.17254606780327544,0.5979844914844811,0.6132061654930019
2021-08-30,0.6618882861690276,0.2791050756575272,0.9528472931180799,0.897648974828212
2021-08-31,0.8912822911052843,0.6532884863645466,0.7142233425516927,0.1378791231134432
2021-09-01,0.6593414454763515,0.08269178780551573,0.75982924321066,0.9328767969928577
2021-09-02,0.9723661010969902,0.6913374692595706,0.44629230192839364,0.30013005367453
2021-09-03,0.14068545162804574,0.7114620089986674,0.6035039184412133,0.6934256507913904
2021-09-06,0.6877088650634852,0.9126527870360769,0.42670271337819343,0.6559722947524972
2021-09-07,0.46476352277001043,0.12971591838949312,0.3065527425891024,0.2212069678546946
2021-09-08,0.7950455259069933,0.25027705143666545,0.6507019713686286,0.5422083484768248
2021-09-09,0.6621110260941322,0.4462164436568892,0.5438334665079244,0.793034187957306
2021-09-13,0.1941747888384337,0.48664999287714905,0.506683295108874,0.6937360700422291
2021-09-14,0.18821474457397425,0.3543471375915228,0.4696990177582848,0.8499366179562663
