Date,Winner,gofpval_student,gofpval_bb7,lam_emp,actual_returns,lam_student,lam_student_ci_lo,lam_student_ci_hi,lam_bb7,lam_bb7_ci_lo,lam_bb7_ci_hi,es_student,es_bb7
2015-05-22,student,0.731,0.741,0.16016016016016016,-1.410882832842545,0.14,0.04004004004004004,0.24024024024024024,0.142,0.04004004004004004,0.2202202202202202,-3.254091452501657,-3.2773636263389103
2015-05-25,student,0.732,0.745,0.16016016016016016,-1.5867434048181148,0.142,0.04004004004004004,0.22072072072072024,0.14,0.04004004004004004,0.2202202202202202,-3.218556042085807,-3.240562586047903
2015-05-26,student,0.726,0.739,0.16016016016016016,-0.32619532139497,0.142,0.04004004004004004,0.22072072072072024,0.138,0.04004004004004004,0.2202202202202202,-3.459610231558664,-3.4971180374785846
2015-05-27,student,0.731,0.747,0.16016016016016016,-0.3306527528911799,0.154,0.04004004004004004,0.24024024024024024,0.148,0.04004004004004004,0.24024024024024024,-3.1545934948727066,-3.180633875210916
2015-05-28,student,0.994,0.995,0.16016016016016016,1.2701354231103699,0.122,0.04004004004004004,0.2202202202202202,0.12,0.04004004004004004,0.2202202202202202,-3.2241818102588558,-3.2401392705141454
2015-05-29,student,0.722,0.734,0.16016016016016016,0.26110576187532003,0.108,0.04004004004004004,0.22072072072072024,0.106,0.04004004004004004,0.24024024024024024,-3.1646467506834717,-3.1677950825612515
2015-06-01,student,0.721,0.733,0.16016016016016016,0.61450378154734,0.12,0.04004004004004004,0.22072072072072024,0.116,0.04004004004004004,0.24024024024024024,-3.154563107510013,-3.182615445390632
2015-06-02,student,0.709,0.725,0.16016016016016016,-3.16038379574734,0.124,0.04004004004004004,0.2202202202202202,0.13,0.04004004004004004,0.24024024024024024,-3.2217154543731175,-3.2660388346666047
2015-06-03,student,0.726,0.737,0.16016016016016016,-1.386232572771175,0.126,0.04004004004004004,0.24024024024024024,0.126,0.04004004004004004,0.24024024024024024,-3.911048396720749,-3.9683597840592855
2015-06-04,student,0.994,0.994,0.16016016016016016,0.21542979318396502,0.134,0.04004004004004004,0.2202202202202202,0.134,0.04004004004004004,0.24024024024024024,-3.30645959980071,-3.341054711415266
2015-06-05,student,0.994,0.994,0.16016016016016016,-0.367164545878555,0.13,0.04004004004004004,0.2202202202202202,0.132,0.04004004004004004,0.24024024024024024,-3.1672255662314632,-3.201369376269168
2015-06-08,student,0.994,0.994,0.16016016016016016,-0.84499471297375,0.108,0.04004004004004004,0.2202202202202202,0.108,0.04004004004004004,0.24024024024024024,-3.0590975473007056,-3.091521479453834
2015-06-09,student,0.994,0.994,0.16016016016016016,0.31789144537415004,0.14,0.04004004004004004,0.2202202202202202,0.14,0.04004004004004004,0.24024024024024024,-3.072107797789853,-3.0966725348850708
2015-06-10,student,0.992,0.994,0.16016016016016016,1.434973429552765,0.118,0.04004004004004004,0.2202202202202202,0.12,0.04004004004004004,0.24024024024024024,-2.9652476031306225,-3.0006407215477804
2015-06-11,student,0.994,0.994,0.16016016016016016,-1.999554525689685,0.136,0.04004004004004004,0.2202202202202202,0.14,0.04004004004004004,0.24024024024024024,-3.1268181079722708,-3.162547712125314
2015-06-12,student,0.994,0.994,0.16016016016016016,-0.578729027803715,0.144,0.04004004004004004,0.2202202202202202,0.146,0.04004004004004004,0.24024024024024024,-3.3802350801586702,-3.427151114716891
2015-06-15,student,0.994,0.995,0.16016016016016016,0.16647704683793985,0.114,0.04004004004004004,0.2202202202202202,0.122,0.04004004004004004,0.24024024024024024,-3.196115901174888,-3.240706625722816
2015-06-16,student,0.994,0.994,0.16016016016016016,1.30894729460708,0.122,0.04004004004004004,0.2202202202202202,0.128,0.04004004004004004,0.24024024024024024,-3.271296164261674,-3.3192874274182724
2015-06-17,student,0.994,0.994,0.16016016016016016,-0.08484753677754,0.124,0.04004004004004004,0.2202202202202202,0.126,0.04004004004004004,0.24024024024024024,-3.0619114176512605,-3.09771645897985
2015-06-18,student,0.994,0.995,0.16016016016016016,0.8974410777815649,0.182,0.04004004004004004,0.22072072072072024,0.184,0.04004004004004004,0.24024024024024024,-3.2886380554885672,-3.3364236942122996
2015-06-19,student,0.994,0.994,0.16016016016016016,0.06510071036847997,0.138,0.04004004004004004,0.2202202202202202,0.142,0.04004004004004004,0.24024024024024024,-3.1450684727704736,-3.2023862876620113
2015-06-22,bb7,0.994,0.994,0.16016016016016016,2.52345075398408,0.11,0.04004004004004004,0.2202202202202202,0.112,0.04004004004004004,0.24024024024024024,-2.877945203366113,-2.908378162565173
2015-06-23,student,0.993,0.994,0.16016016016016016,-0.83063353436973,0.118,0.04004004004004004,0.22072072072072024,0.122,0.04004004004004004,0.24024024024024024,-3.0071434914082746,-3.0333877090104115
2015-06-24,student,0.995,0.995,0.16016016016016016,-1.28430317771145,0.14,0.04004004004004004,0.2202202202202202,0.144,0.04004004004004004,0.24024024024024024,-3.3661401268694746,-3.4161520258208355
2015-06-25,student,0.995,0.995,0.16016016016016016,0.230561230821285,0.152,0.04004004004004004,0.2202202202202202,0.154,0.04004004004004004,0.24024024024024024,-3.3321313372469215,-3.3673850453319183
2015-06-26,student,0.994,0.995,0.16016016016016016,0.8170864796662051,0.136,0.04004004004004004,0.2202202202202202,0.136,0.04004004004004004,0.24024024024024024,-3.0979622790455053,-3.1403010653283956
2015-06-29,student,0.995,0.996,0.16016016016016016,-1.8142421661124049,0.128,0.04004004004004004,0.2202202202202202,0.128,0.04004004004004004,0.24024024024024024,-3.1224085566098565,-3.152988672780833
2015-06-30,student,0.995,0.996,0.16016016016016016,0.2996723130793651,0.122,0.04004004004004004,0.2202202202202202,0.122,0.04004004004004004,0.24024024024024024,-3.1337279812675285,-3.162319429414691
2015-07-01,student,0.994,0.995,0.12012012012012012,1.601066260674005,0.13,0.04004004004004004,0.2202202202202202,0.132,0.04004004004004004,0.24024024024024024,-3.0971450296990626,-3.1267216080866427
2015-07-02,student,0.995,0.995,0.16016016016016016,-0.454797871417805,0.14,0.04004004004004004,0.22072072072072024,0.138,0.04004004004004004,0.24024024024024024,-2.990684388676141,-3.02570935600403
2015-07-03,student,0.995,0.996,0.16016016016016016,0.40476070206660497,0.118,0.04004004004004004,0.2202202202202202,0.118,0.04004004004004004,0.24024024024024024,-3.195699713925532,-3.2374843330828607
2015-07-06,student,0.995,0.996,0.16016016016016016,-0.09552024550542998,0.126,0.04004004004004004,0.2202202202202202,0.126,0.04004004004004004,0.24024024024024024,-3.0950909629273955,-3.1182257293667206
2015-07-07,student,0.995,0.996,0.16016016016016016,0.243673487281375,0.138,0.04004004004004004,0.2202202202202202,0.138,0.04004004004004004,0.24024024024024024,-3.1352577378566293,-3.1742436618419476
2015-07-08,student,0.996,0.997,0.16016016016016016,-2.21418920204082,0.136,0.04004004004004004,0.2202202202202202,0.136,0.04004004004004004,0.24024024024024024,-2.890832771667075,-2.921136949196766
2015-07-09,student,0.995,0.996,0.12012012012012012,-0.9540389612496151,0.166,0.04004004004004004,0.2202202202202202,0.17,0.04004004004004004,0.24024024024024024,-3.3161100800519296,-3.3472549746753755
2015-07-10,student,0.995,0.996,0.12012012012012012,0.493505596329485,0.124,0.04004004004004004,0.2202202202202202,0.124,0.04004004004004004,0.2202202202202202,-3.1609839655666327,-3.199502882253554
2015-07-13,student,0.995,0.996,0.12012012012012012,1.24894380678804,0.142,0.04004004004004004,0.2202202202202202,0.14,0.04004004004004004,0.24024024024024024,-2.9689923529463162,-3.0004032744706493
2015-07-14,student,0.995,0.995,0.12012012012012012,0.08322508290879993,0.146,0.04004004004004004,0.2202202202202202,0.146,0.04004004004004004,0.24024024024024024,-3.0503634974866025,-3.085559840920204
2015-07-15,student,0.995,0.996,0.12012012012012012,0.62412626318711,0.158,0.04004004004004004,0.2202202202202202,0.156,0.04004004004004004,0.2202202202202202,-3.304229075958142,-3.3349158101140874
2015-07-16,student,0.995,0.995,0.12012012012012012,1.0241273799143,0.132,0.04004004004004004,0.2202202202202202,0.132,0.04004004004004004,0.22072072072072024,-2.9318799437232212,-2.962403948933584
2015-07-17,student,0.995,0.996,0.12012012012012012,0.44046987886342504,0.116,0.04004004004004004,0.2202202202202202,0.116,0.04004004004004004,0.24024024024024024,-2.823864175012577,-2.837089357150435
2015-07-20,student,0.995,0.995,0.12012012012012012,-0.70770945543112,0.128,0.04004004004004004,0.2202202202202202,0.128,0.04004004004004004,0.22072072072072024,-2.991217150802334,-3.026566939787619
2015-07-21,student,0.994,0.994,0.12012012012012012,4.682365348369775,0.138,0.04004004004004004,0.2202202202202202,0.148,0.04004004004004004,0.24024024024024024,-3.04806583799623,-3.087730045430311
2015-07-22,student,0.994,0.994,0.12012012012012012,0.36887939616803,0.12,0.04004004004004004,0.2202202202202202,0.128,0.04004004004004004,0.24024024024024024,-5.809311335705463,-5.892086034495009
2015-07-23,student,0.993,0.994,0.12012012012012012,0.04451728029061494,0.12,0.04004004004004004,0.2202202202202202,0.126,0.04004004004004004,0.24024024024024024,-3.734343764243099,-3.7972888289429108
2015-07-24,student,0.992,0.994,0.12012012012012012,-1.7509810415276899,0.158,0.04004004004004004,0.2202202202202202,0.166,0.04004004004004004,0.24024024024024024,-3.0894439129419227,-3.1317497197028605
2015-07-27,student,0.992,0.994,0.12012012012012012,-1.955942502194405,0.106,0.04004004004004004,0.2202202202202202,0.11,0.04004004004004004,0.24024024024024024,-3.115292683530515,-3.1628851100823487
2015-07-28,student,0.992,0.992,0.12012012012012012,0.029753385578785,0.15,0.04004004004004004,0.2202202202202202,0.16,0.04004004004004004,0.24024024024024024,-3.2784664611053422,-3.3135365113458737
2015-07-29,student,0.989,0.992,0.12012012012012012,-0.042348907512015144,0.126,0.04004004004004004,0.2202202202202202,0.13,0.04004004004004004,0.24024024024024024,-3.264531805871322,-3.311657169063708
2015-07-30,student,0.989,0.992,0.12012012012012012,-0.08753660868779001,0.136,0.04004004004004004,0.2202202202202202,0.146,0.04004004004004004,0.24024024024024024,-3.196164080822685,-3.235148017516826
2015-07-31,student,0.992,0.993,0.12012012012012012,2.8438424343731503,0.12,0.04004004004004004,0.2202202202202202,0.136,0.04004004004004004,0.24024024024024024,-3.002847437160239,-3.0468835201337328
2015-08-03,student,0.992,0.993,0.12012012012012012,2.0843961463418847,0.11,0.04004004004004004,0.2202202202202202,0.114,0.04004004004004004,0.24024024024024024,-2.889531570038112,-2.929634684398523
2015-08-04,student,0.751,0.768,0.14014014014014015,0.30959495719883523,0.122,0.04004004004004004,0.2202202202202202,0.128,0.04004004004004004,0.24024024024024024,-2.9988180719412276,-3.0635748637721307
2015-08-05,student,0.733,0.739,0.12012012012012012,0.8001157813100901,0.126,0.04004004004004004,0.2202202202202202,0.138,0.04004004004004004,0.2202202202202202,-3.2480740389194542,-3.307417882895072
2015-08-06,student,0.987,0.989,0.12012012012012012,0.6630195644164351,0.132,0.04004004004004004,0.2202202202202202,0.14,0.04004004004004004,0.2202202202202202,-3.4514091835470153,-3.493464721037044
2015-08-07,student,0.72,0.729,0.12012012012012012,-0.9625809564611648,0.126,0.04004004004004004,0.2202202202202202,0.136,0.04004004004004004,0.2202202202202202,-3.16443266243585,-3.2193900814908427
2015-08-10,student,0.987,0.989,0.12012012012012012,-0.18298549186811996,0.106,0.04004004004004004,0.2202202202202202,0.122,0.04004004004004004,0.2202202202202202,-3.2358001655070656,-3.2827809023701384
2015-08-11,student,0.727,0.735,0.12012012012012012,-1.4751352772392052,0.112,0.04004004004004004,0.2202202202202202,0.12,0.04004004004004004,0.2202202202202202,-3.083583034290573,-3.1060097129805206
2015-08-12,student,0.985,0.987,0.12012012012012012,-0.8068682205106152,0.148,0.04004004004004004,0.2202202202202202,0.148,0.04004004004004004,0.2202202202202202,-3.7504682289265667,-3.7936797053129676
2015-08-13,student,0.989,0.991,0.12012012012012012,1.16279376991279,0.11,0.04004004004004004,0.2202202202202202,0.114,0.04004004004004004,0.2202202202202202,-3.8601174600575616,-3.881479437287933
2015-08-14,student,0.992,0.993,0.12012012012012012,1.3640179371744348,0.106,0.04004004004004004,0.2202202202202202,0.108,0.04004004004004004,0.2202202202202202,-3.2263988238259653,-3.2585380867165696
2015-08-17,student,0.993,0.994,0.12012012012012012,1.742412916988655,0.122,0.04004004004004004,0.2202202202202202,0.126,0.04004004004004004,0.2202202202202202,-3.2280450320441423,-3.2699347833020163
2015-08-18,student,0.992,0.992,0.12012012012012012,1.8570834027673648,0.106,0.04004004004004004,0.20070070070070023,0.112,0.04004004004004004,0.2202202202202202,-3.4300532305057976,-3.494808016599244
2015-08-19,student,0.992,0.993,0.12012012012012012,-0.7296580140545299,0.118,0.04004004004004004,0.20070070070070023,0.128,0.04004004004004004,0.2202202202202202,-3.421638798121275,-3.478750173988885
2015-08-20,student,0.989,0.992,0.12012012012012012,-3.1331877522800653,0.09,0.04004004004004004,0.20070070070070023,0.094,0.04004004004004004,0.2202202202202202,-3.4102829208881023,-3.450325248308558
2015-08-21,student,0.993,0.993,0.12012012012012012,0.105061776137795,0.112,0.04004004004004004,0.2202202202202202,0.12,0.04004004004004004,0.2202202202202202,-3.9991836486990264,-4.055120169932076
2015-08-24,student,0.992,0.992,0.12012012012012012,-6.89241546901788,0.09,0.04004004004004004,0.20020020020020018,0.094,0.04004004004004004,0.2202202202202202,-3.391043941486735,-3.4464783876171303
2015-08-25,bb7,0.992,0.991,0.16016016016016016,1.300227649787655,0.124,0.04004004004004004,0.2202202202202202,0.172,0.08008008008008008,0.2802802802802803,-4.865104528413392,-5.032336381567764
2015-08-26,bb7,0.989,0.988,0.14014014014014015,-2.512015106760945,0.114,0.04004004004004004,0.2202202202202202,0.166,0.0795795795795796,0.2802802802802803,-4.200354083346083,-4.320427489473012
2015-08-27,student,0.992,0.989,0.12012012012012012,1.60491585719558,0.13,0.04004004004004004,0.20070070070070023,0.176,0.06006006006006006,0.2602602602602602,-4.305532046217036,-4.5035275847626846
2015-08-28,student,0.735,0.741,0.12012012012012012,1.18744268197604,0.118,0.04004004004004004,0.2202202202202202,0.172,0.06006006006006006,0.2602602602602602,-3.907752466971223,-3.9285625864534093
2015-08-31,student,0.738,0.747,0.08008008008008008,-1.07735332666718,0.126,0.04004004004004004,0.20070070070070023,0.168,0.06006006006006006,0.26076076076076027,-3.6274266410692837,-3.7372277819600668
2015-09-01,bb7,0.99,0.988,0.12012012012012012,-1.943448174070695,0.118,0.04004004004004004,0.20070070070070023,0.168,0.06006006006006006,0.2602602602602602,-3.8110709148119715,-3.8985687846239943
