Date,INFY.NS,SBIN.NS
2021-05-10,-0.8001325525694253,0.488324562855382
2021-05-11,-0.5118399568424874,0.4712530006047942
2021-05-12,-0.2350850841949678,0.5173333623564655
2021-05-14,-0.6140436866094634,-1.4563279241005176
2021-05-17,0.6373259008653593,3.4400006916776555
2021-05-18,0.5179243955533647,-0.1096701159389315
2021-05-19,-0.20070776005641391,0.25942666274288273
2021-05-20,0.07940044938585694,-0.026973803077388808
2021-05-21,0.7725195685571716,2.8967930355331633
2021-05-24,-0.37955446282630273,1.333834568790077
2021-05-25,0.6654758029153744,0.0018383121780998354
2021-05-26,1.7907849411146661,0.13501528443532657
2021-05-27,0.1969158183836252,1.8859074195076375
2021-05-28,0.09716804996146823,-0.49205440836421244
2021-05-31,0.1470042717777654,0.29801017847980016
2021-06-01,-0.38295109925905635,1.27837075580471
2021-06-02,-0.48528552055573443,0.6634950136824089
2021-06-03,0.5154630184820167,0.950668026877396
2021-06-04,-0.2463937696395305,-0.9912431215006166
2021-06-07,0.16243112158771994,-0.2533122119668167
2021-06-08,1.1573484454518095,-0.8613603945837572
2021-06-09,0.07647511062568026,-0.9367631638802097
2021-06-10,0.4094127647123133,1.515136362541088
2021-06-11,1.0871496122205164,-0.4117737313865855
2021-06-14,0.6720441352574851,0.057495122539406085
2021-06-15,0.5385887753298043,-0.1973545939903799
2021-06-16,0.2807095698880673,-0.6557321062640558
2021-06-17,0.6670957786455132,-0.9863086794798437
2021-06-18,0.33888053932219475,-1.174714836845365
2021-06-21,-0.18582984432244304,0.8986228847796848
2021-06-22,0.508628715049842,-0.21273675060672867
2021-06-23,-0.455981847822647,-0.025760123064758896
2021-06-24,2.5461135090173843,-0.34157492207570905
2021-06-25,0.5366876015810609,1.8950100708795163
2021-06-28,-0.13883841782198034,-0.3351141513784241
2021-06-29,-0.432978459821639,-0.8874676577662794
2021-06-30,0.7488752513363092,-0.40726345386586876
2021-07-01,-0.9530750730904733,0.13484363381399125
2021-07-02,0.267653524202834,0.6139177692290094
2021-07-05,0.45238823267038075,1.3073777122053214
2021-07-06,-0.798629936372444,-0.4930811576077411
2021-07-07,0.060593329260972585,0.42932954528322087
2021-07-08,-0.21661687814573777,-1.436131869077759
2021-07-09,0.05464033003054299,-0.14966881105108812
2021-07-12,-0.7424511194244471,0.5198163500329598
2021-07-13,-0.17205354386221558,0.21221531131792346
2021-07-14,1.4074484603613011,0.2656880187693155
2021-07-15,0.12942620653138484,0.04999325677671574
2021-07-16,-1.1825623989726277,-0.3472639029090588
2021-07-19,-0.5989848005221121,-0.4130906867247411
2021-07-20,0.3136161834751239,-1.2320968005396624
2021-07-22,1.7410341826478077,0.10962417284958237
2021-07-23,-0.024075104487159237,1.039581686029513
2021-07-26,0.5427344719818386,-0.9309757599441794
