,VaR violations,violations,n,kupiec_p,christoffersen_p,dq_stat1,dq_p1,dq_stat4,dq_p4,acerbi_szekely_stat,acerbi_szekely_crit,acerbi_szekely_p,mae_es,empirical_es_loss,mean_fz_loss,median_fz_loss
Parametric_t,0.032388663967611336,8.0,247.0,0.1758071653726263,0.24323071064304902,3.0712074303405514,0.2153256565563445,6.442811180199588,0.2654828425405231,-0.11753285137769676,-0.5745295756668131,0.4229,3.62517354718831,-11.703317697116638,2.3645082755805613,1.9660670660992827
Historical,0.03643724696356275,9.0,247.0,0.3050851198871637,0.3200299544003251,2.024280109556587,0.36344036444062255,4.703423648999477,0.453135520705902,-0.016647557285892733,-0.5745295756668131,0.5265,4.295962033491317,-11.197664381702678,2.414889025494578,1.9658331269476377
Normal,0.032388663967611336,8.0,247.0,0.1758071653726263,0.24323071064304902,3.0712074303405514,0.2153256565563445,6.442811180199588,0.2654828425405231,-0.11587820897299361,-0.5745295756668131,0.4247,3.52528420655276,-11.703317697116638,2.3666344914679116,1.9786699564163448
GARCH,0.044534412955465584,11.0,247.0,0.6882240676304606,0.5004768605060821,0.6619159116359579,0.7182353660242251,2.396743958461004,0.7919589105968887,0.0754443404142855,-0.5745295756668131,0.6145,2.866782151687974,-10.328691077031252,2.307093421817458,1.9277060171765086
benchmark,0.03643724696356275,9.0,247.0,0.3050851198871637,0.3200299544003251,2.0242801095565888,0.3634403644406221,3.551063088184026,0.6156756118738163,-0.13532555004802038,-0.5745295756668131,0.4045,3.4515858085091,-10.948564854768264,2.305594528704852,1.9559273195255429
