Date,Actual,VaR_5%,ES_5%
2015-05-22,-1.410882832842545,-2.1852345365230215,-3.254091452501657
2015-06-05,-0.367164545878555,-2.0653491070622403,-3.1672255662314632
2015-06-19,0.06510071036847997,-1.9850786367057047,-3.1450684727704736
2015-07-03,0.40476070206660497,-2.0711542719606384,-3.195699713925532
2015-07-17,0.44046987886342504,-1.9019920187500046,-2.823864175012577
2015-07-31,2.8438424343731503,-1.9715432336724519,-3.002847437160239
2015-08-14,1.3640179371744348,-2.23412970440112,-3.2263988238259653
2015-08-28,1.18744268197604,-2.587558680218757,-3.907752466971223
2015-09-11,1.05357060814924,-2.4856078044179726,-3.519108919813985
2015-09-29,1.2407778249628598,-2.2043132844314877,-3.2913738975508213
2015-10-14,0.010282561981475008,-1.9664400098683996,-2.901262231185346
2015-10-29,-1.419379411498395,-2.1032000976478757,-3.105048294822656
2015-11-16,0.7033337853191801,-2.086353802324521,-3.076858123815632
2015-12-01,-0.10000592601388503,-2.1457109516345643,-3.1045314602591216
2015-12-15,0.474412539401945,-1.945455844795176,-2.8591978538058775
2015-12-30,-1.368457064761555,-1.8429359684362547,-2.7107134992736093
2016-01-13,1.94280248411508,-2.1371537860027625,-3.1078499068355967
2016-01-28,-0.16245159998676495,-2.304468290387104,-3.393663066971885
2016-02-11,-2.8836115250486403,-2.632822511812852,-3.6119081086100557
2016-02-25,-2.13384633973382,-2.6156375343372775,-3.70012492063735
2016-03-11,-0.08904434236895,-2.8314803591432565,-3.915178003259263
2016-03-29,-0.00084852019685,-2.437438377478855,-3.3999764042841423
2016-04-12,-0.19149018931275502,-2.182400953953941,-3.1883950679664776
2016-04-29,-0.843864835608725,-2.3685935511486638,-3.481952374993877
2016-05-13,-1.0914288870499949,-2.029904138461082,-2.8514506251937957
2016-05-27,3.63063692334974,-2.210218758924893,-3.176284272594504
2016-06-10,-1.168894898454275,-2.3860055340834965,-3.4909715711260105
2016-06-24,-2.1779506115307203,-2.0655318397484588,-3.0525964087394932
2016-07-11,2.1669816958533,-1.963413777983324,-2.851203263043718
2016-07-25,1.80175078380709,-1.9987914767857544,-2.9027904022014743
2016-08-08,0.60574111331029,-1.8638167337018097,-2.6566955760138034
2016-08-23,1.167797103663145,-2.2438359140964117,-3.1766635456888492
2016-09-07,1.7170249463162102,-1.9372276213281538,-2.878821470337662
2016-09-22,1.470321585554285,-1.9884579455252305,-2.8239936531915615
2016-10-06,-1.4639376996639952,-1.9569110150877869,-2.744498417387051
2016-10-24,0.3111506371493499,-1.96617291751372,-2.8257267892821836
2016-11-08,0.22728947341715502,-1.86995809893665,-2.975658728927602
2016-11-23,0.581745744759365,-2.4373062555913,-3.4856310764969622
2016-12-07,-0.68519196169551,-2.0221326262755284,-2.9862872186311646
2016-12-21,-0.36949296354488004,-2.1301059000885454,-3.1180767678310692
2017-01-04,-0.21419235942515497,-1.9131944926985034,-2.9280303388863067
2017-01-18,0.21556766112163503,-1.8255830984212935,-2.656924667670648
2017-02-02,1.5116323675686099,-2.0186723580049537,-3.0121515947074693
2017-02-16,1.807085572410065,-1.8832194497163164,-2.705931546058636
2017-03-03,-0.03814186704957001,-1.871205399358256,-2.648230688647011
2017-03-20,-0.95747532246906,-1.9056724231338509,-2.757962312923707
2017-04-03,-0.70486816495347,-1.8353038745294308,-2.6435567974306777
2017-04-19,-1.2755463758671401,-1.8153814001320017,-2.7555420143241554
2017-05-04,1.74994057537898,-1.8518810740793399,-2.6541284718651186
2017-05-18,-0.3022590812207401,-1.8267288342508066,-2.654981278577733
2017-06-01,0.32297419218881,-1.9880395459134614,-2.865454789353903
2017-06-15,-0.375401972550555,-1.8154854332674675,-2.505217897589333
2017-06-30,0.5064918182185201,-1.9927207059245475,-2.760393064642517
2017-07-14,0.234565790691385,-1.8076694868217313,-2.5671163404870656
2017-07-28,1.4617234388036198,-1.6584470603623451,-2.3505764370588396
2017-08-11,-2.5422347476749647,-1.9736697248881363,-2.6701704079347564
2017-08-29,-1.147613710332105,-2.1065402836872074,-3.0329007876237966
2017-09-12,0.762734701259155,-1.6833392822971327,-2.366873665610793
2017-09-26,0.48901307508645503,-1.85444661895431,-2.5758658103751078
2017-10-11,-1.27677855067933,-1.7430627857490233,-2.434237030619551
2017-10-26,-0.04170181307524001,-5.368110905388773,-7.230686251474522
2017-11-09,0.78125590603807,-3.1426384166060117,-4.17388208332402
2017-11-23,1.222400078428955,-2.0837713275069603,-2.834342844073024
2017-12-07,1.113512439622095,-2.0086676524254954,-2.8081038380992127
2017-12-21,0.185993392809265,-1.8231172020732858,-2.568120371669833
2018-01-05,-0.5173904263078399,-1.7107106426368348,-2.421671298678217
2018-01-19,0.576756068303315,-1.9070509846800845,-2.643978043129371
2018-02-05,-0.10379078044834,-2.2996565076427786,-3.137022707263572
2018-02-20,0.442900411855995,-2.2924542110012247,-3.101326313264781
2018-03-07,-2.28352290347203,-2.1345107994494716,-2.8957866363702944
2018-03-21,-0.094792316926435,-1.955309644367907,-2.7618116881830623
2018-04-06,-0.8264212390964251,-2.2690226464737444,-3.1455357353311655
2018-04-20,0.957452532190185,-1.8575843590573111,-2.5284500668274577
2018-05-07,1.35173656330389,-1.9803959053742926,-2.7796700431895434
2018-05-21,1.002138817417615,-1.9431617669586299,-2.7142358639885513
2018-06-04,0.05752042753108,-2.0433749951258693,-2.815091358627346
2018-06-18,-0.6516812281665151,-2.0968419981337965,-2.8637701074771678
2018-07-02,0.9444790388686101,-1.9929882691995233,-2.656867447860768
2018-07-16,-0.6245147592248149,-1.8993562263243813,-2.565149449802171
2018-07-30,0.9993147045216451,-1.940105236667487,-2.61349951734127
2018-08-13,-0.8869687818792349,-2.2196652999384,-3.0173073365125394
2018-08-29,0.19225636915175015,-1.9472910684849758,-2.6589859771029416
2018-09-12,1.0576233451429298,-2.0037368064520185,-2.7105224938644383
2018-09-28,0.38912371187347,-2.163861692901036,-2.998089533518433
2018-10-15,1.347538169384945,-2.838592777321258,-3.751653733088803
2018-10-30,2.108911223014685,-2.5776581906828193,-3.398816848286376
2018-11-14,0.0404196107754049,-2.0767653173747282,-2.811995688662346
2018-11-29,-0.07901955786714998,-2.498766497717177,-3.419309823043718
2018-12-13,2.0518435520608653,-1.8817108869534411,-2.5563754411289463
2018-12-28,0.46288784119164506,-1.949090436085188,-2.670371174664903
2019-01-11,-0.18154067201414498,-1.8222577363470078,-2.4772393387955747
2019-01-25,-0.57496255089082,-1.8055644134735482,-2.479717044261209
2019-02-08,-0.44745177229887,-1.8465465831098797,-2.561504454349564
2019-02-25,1.1912910138976849,-1.826784645467772,-2.517779221983461
2019-03-12,-0.381572866176825,-1.814781667610518,-2.3785022408922183
2019-03-27,0.9993925520703899,-1.9023500653102565,-2.5594000667846766
2019-04-11,-0.029540122907020017,-1.8473075393315068,-2.4416415473656823
2019-04-30,0.48672538071393,-1.890977829809798,-2.5075018738521386
2019-05-15,-0.24950781466056998,-1.8852365105821949,-2.528564440134639
2019-05-29,-1.6293043669835852,-2.277649394689732,-3.011827350490325
2019-06-13,0.318308650711025,-1.9582329413524369,-2.6494316629319985
2019-06-27,-0.033220314716620014,-1.7340437247323486,-2.28099659293271
2019-07-11,1.549987822843415,-1.9601052656461972,-2.5994870513264434
