Date,Stock,Tail,Fallback,Reason
2015-05-22,HINDUNILVR.NS,upper,False,
2015-05-22,HINDUNILVR.NS,lower,False,
2015-05-22,INFY.NS,upper,False,
2015-05-22,INFY.NS,lower,False,
2015-05-22,SBIN.NS,upper,True,invalid
2015-05-22,SBIN.NS,lower,False,
2015-05-22,TATAMOTORS.NS,upper,False,
2015-05-22,TATAMOTORS.NS,lower,True,sparse
2015-06-05,HINDUNILVR.NS,upper,False,
2015-06-05,HINDUNILVR.NS,lower,False,
2015-06-05,INFY.NS,upper,False,
2015-06-05,INFY.NS,lower,False,
2015-06-05,SBIN.NS,upper,False,
2015-06-05,SBIN.NS,lower,False,
2015-06-05,TATAMOTORS.NS,upper,False,
2015-06-05,TATAMOTORS.NS,lower,True,sparse
2015-06-19,HINDUNILVR.NS,upper,False,
2015-06-19,HINDUNILVR.NS,lower,False,
2015-06-19,INFY.NS,upper,False,
2015-06-19,INFY.NS,lower,False,
2015-06-19,SBIN.NS,upper,False,
2015-06-19,SBIN.NS,lower,False,
2015-06-19,TATAMOTORS.NS,upper,False,
2015-06-19,TATAMOTORS.NS,lower,True,sparse
2015-07-03,HINDUNILVR.NS,upper,False,
2015-07-03,HINDUNILVR.NS,lower,False,
2015-07-03,INFY.NS,upper,False,
2015-07-03,INFY.NS,lower,False,
2015-07-03,SBIN.NS,upper,False,
2015-07-03,SBIN.NS,lower,False,
2015-07-03,TATAMOTORS.NS,upper,False,
2015-07-03,TATAMOTORS.NS,lower,True,sparse
2015-07-17,HINDUNILVR.NS,upper,False,
2015-07-17,HINDUNILVR.NS,lower,False,
2015-07-17,INFY.NS,upper,False,
2015-07-17,INFY.NS,lower,False,
2015-07-17,SBIN.NS,upper,False,
2015-07-17,SBIN.NS,lower,False,
2015-07-17,TATAMOTORS.NS,upper,False,
2015-07-17,TATAMOTORS.NS,lower,True,sparse
2015-07-31,HINDUNILVR.NS,upper,False,
2015-07-31,HINDUNILVR.NS,lower,False,
2015-07-31,INFY.NS,upper,False,
2015-07-31,INFY.NS,lower,False,
2015-07-31,SBIN.NS,upper,False,
2015-07-31,SBIN.NS,lower,False,
2015-07-31,TATAMOTORS.NS,upper,False,
2015-07-31,TATAMOTORS.NS,lower,False,
2015-08-14,HINDUNILVR.NS,upper,False,
2015-08-14,HINDUNILVR.NS,lower,False,
2015-08-14,INFY.NS,upper,False,
2015-08-14,INFY.NS,lower,False,
2015-08-14,SBIN.NS,upper,False,
2015-08-14,SBIN.NS,lower,False,
2015-08-14,TATAMOTORS.NS,upper,False,
2015-08-14,TATAMOTORS.NS,lower,False,
2015-08-28,HINDUNILVR.NS,upper,False,
2015-08-28,HINDUNILVR.NS,lower,False,
2015-08-28,INFY.NS,upper,False,
2015-08-28,INFY.NS,lower,False,
2015-08-28,SBIN.NS,upper,True,invalid
2015-08-28,SBIN.NS,lower,False,
2015-08-28,TATAMOTORS.NS,upper,False,
2015-08-28,TATAMOTORS.NS,lower,False,
2015-09-11,HINDUNILVR.NS,upper,False,
2015-09-11,HINDUNILVR.NS,lower,False,
2015-09-11,INFY.NS,upper,False,
2015-09-11,INFY.NS,lower,False,
2015-09-11,SBIN.NS,upper,True,sparse
2015-09-11,SBIN.NS,lower,False,
2015-09-11,TATAMOTORS.NS,upper,False,
2015-09-11,TATAMOTORS.NS,lower,False,
2015-09-29,HINDUNILVR.NS,upper,False,
2015-09-29,HINDUNILVR.NS,lower,False,
2015-09-29,INFY.NS,upper,False,
2015-09-29,INFY.NS,lower,False,
2015-09-29,SBIN.NS,upper,False,
2015-09-29,SBIN.NS,lower,False,
2015-09-29,TATAMOTORS.NS,upper,False,
2015-09-29,TATAMOTORS.NS,lower,False,
2015-10-14,HINDUNILVR.NS,upper,False,
2015-10-14,HINDUNILVR.NS,lower,False,
2015-10-14,INFY.NS,upper,False,
2015-10-14,INFY.NS,lower,False,
2015-10-14,SBIN.NS,upper,False,
2015-10-14,SBIN.NS,lower,False,
2015-10-14,TATAMOTORS.NS,upper,False,
2015-10-14,TATAMOTORS.NS,lower,False,
2015-10-29,HINDUNILVR.NS,upper,False,
2015-10-29,HINDUNILVR.NS,lower,False,
2015-10-29,INFY.NS,upper,False,
2015-10-29,INFY.NS,lower,False,
2015-10-29,SBIN.NS,upper,False,
2015-10-29,SBIN.NS,lower,False,
2015-10-29,TATAMOTORS.NS,upper,False,
2015-10-29,TATAMOTORS.NS,lower,False,
2015-11-16,HINDUNILVR.NS,upper,False,
2015-11-16,HINDUNILVR.NS,lower,False,
2015-11-16,INFY.NS,upper,False,
2015-11-16,INFY.NS,lower,False,
2015-11-16,SBIN.NS,upper,False,
2015-11-16,SBIN.NS,lower,False,
2015-11-16,TATAMOTORS.NS,upper,False,
2015-11-16,TATAMOTORS.NS,lower,False,
2015-12-01,HINDUNILVR.NS,upper,False,
2015-12-01,HINDUNILVR.NS,lower,False,
2015-12-01,INFY.NS,upper,False,
2015-12-01,INFY.NS,lower,False,
2015-12-01,SBIN.NS,upper,False,
2015-12-01,SBIN.NS,lower,False,
2015-12-01,TATAMOTORS.NS,upper,False,
2015-12-01,TATAMOTORS.NS,lower,False,
2015-12-15,HINDUNILVR.NS,upper,False,
2015-12-15,HINDUNILVR.NS,lower,False,
2015-12-15,INFY.NS,upper,False,
2015-12-15,INFY.NS,lower,False,
2015-12-15,SBIN.NS,upper,False,
2015-12-15,SBIN.NS,lower,False,
2015-12-15,TATAMOTORS.NS,upper,False,
2015-12-15,TATAMOTORS.NS,lower,False,
2015-12-30,HINDUNILVR.NS,upper,False,
2015-12-30,HINDUNILVR.NS,lower,False,
2015-12-30,INFY.NS,upper,False,
2015-12-30,INFY.NS,lower,False,
2015-12-30,SBIN.NS,upper,False,
2015-12-30,SBIN.NS,lower,False,
2015-12-30,TATAMOTORS.NS,upper,False,
2015-12-30,TATAMOTORS.NS,lower,False,
2016-01-13,HINDUNILVR.NS,upper,False,
2016-01-13,HINDUNILVR.NS,lower,False,
2016-01-13,INFY.NS,upper,False,
2016-01-13,INFY.NS,lower,False,
2016-01-13,SBIN.NS,upper,False,
2016-01-13,SBIN.NS,lower,False,
2016-01-13,TATAMOTORS.NS,upper,False,
2016-01-13,TATAMOTORS.NS,lower,False,
2016-01-28,HINDUNILVR.NS,upper,False,
2016-01-28,HINDUNILVR.NS,lower,False,
2016-01-28,INFY.NS,upper,False,
2016-01-28,INFY.NS,lower,False,
2016-01-28,SBIN.NS,upper,False,
2016-01-28,SBIN.NS,lower,False,
2016-01-28,TATAMOTORS.NS,upper,False,
2016-01-28,TATAMOTORS.NS,lower,False,
