,VaR violations,violations,n,kupiec_p,christoffersen_p,dq_stat1,dq_p1,dq_stat4,dq_p4,acerbi_szekely_stat,acerbi_szekely_crit,acerbi_szekely_p,mae_es,empirical_es_loss,mean_fz_loss,median_fz_loss
Parametric_t,0.03736799350121852,92.0,2462.0,0.0026567816911916564,0.0,768.7407300437911,0.0,817.2992096235855,0.0,-0.06195050102996502,-0.19653527166287776,0.3171,3.5609022923016482,-10.847486699774958,2.346436015947185,1.9656187039082544
Historical,0.04670999187652315,115.0,2462.0,0.4490331594187791,0.0,904.9774756584691,0.0,936.3415236268096,0.0,0.09629243323144587,-0.19653527166287788,0.7814,4.242475786186798,-10.010411385146252,2.396841476842413,1.9761148875722099
Normal,0.035337124289195776,87.0,2462.0,0.00043842554012418766,0.0,713.7532428084049,0.0,770.7586021709664,0.0,-0.08855169642353788,-0.19653527166287776,0.2441,3.5689744828897854,-11.06970953047459,2.348567061995676,1.9797340456123114
GARCH,0.04833468724614135,119.0,2462.0,0.7030870013450473,0.0,997.4958931210629,0.0,1036.004949129554,0.0,0.13939124547775328,-0.19653527166287788,0.8645,2.897743366108072,-9.719298342990886,2.312343453720522,1.9263590696854562
benchmark,0.03858651502843217,95.0,2462.0,0.006882318002439991,0.0,738.2102804504455,0.0,775.9544388451582,0.0,-0.13178497518090804,-0.19653527166287776,0.1471,3.2172771740432347,-10.507642542594844,2.268847872049549,1.955325262793917
