Date,Winner,gofpval_student,gofpval_bb7,lam_emp,actual_returns,lam_student,lam_student_ci_lo,lam_student_ci_hi,lam_bb7,lam_bb7_ci_lo,lam_bb7_ci_hi,es_student,es_bb7
2015-05-22,student,0.594,0.649,0.11344678011344678,-0.554657337563845,0.13066666666666668,0.08341675008341676,0.19352686019352686,0.15433333333333335,0.1001001001001001,0.22355689022355688,-2.5166407907435873,-2.553263787488694
2015-05-25,student,0.616,0.672,0.11344678011344678,-1.58095843578943,0.13466666666666668,0.08341675008341676,0.19352686019352686,0.15366666666666665,0.1001001001001001,0.22022022022022023,-2.528494909367081,-2.582693155120808
2015-05-26,student,0.601,0.652,0.11344678011344678,-0.4620861091214525,0.13633333333333333,0.08341675008341676,0.19352686019352686,0.163,0.1001001001001001,0.22030363697030356,-2.67123239385101,-2.7374632159218812
2015-05-27,student,0.615,0.674,0.11344678011344678,-1.4304193913943424,0.14833333333333334,0.08341675008341676,0.19352686019352686,0.16766666666666666,0.1001001001001001,0.22355689022355688,-2.4753699403866314,-2.5076387921536405
2015-05-28,student,0.977,0.987,0.10677344010677342,0.9565634536101898,0.13666666666666666,0.08341675008341676,0.1901901901901902,0.15666666666666665,0.09676343009676343,0.22355689022355688,-2.7050849799060015,-2.750906586427713
2015-05-29,student,0.572,0.623,0.10343677010343676,0.3821380011399226,0.12666666666666668,0.08341675008341676,0.19352686019352683,0.1466666666666667,0.09676343009676343,0.22355689022355688,-2.586455498459978,-2.6537140688324015
2015-06-01,student,0.583,0.632,0.10677344010677342,0.4144652730402825,0.12,0.08341675008341676,0.19352686019352686,0.139,0.09676343009676343,0.22030363697030356,-2.6603724744971355,-2.6987394948279815
2015-06-02,student,0.591,0.634,0.10343677010343676,-2.6608635253430704,0.13566666666666666,0.08341675008341676,0.1901901901901902,0.1476666666666667,0.09676343009676343,0.22030363697030356,-2.7304203320473617,-2.7876987803910698
2015-06-03,student,0.642,0.69,0.10677344010677342,-1.872172014017385,0.13233333333333333,0.08341675008341674,0.1901901901901902,0.14900000000000002,0.10001668335001669,0.22355689022355688,-2.984114419660585,-3.0638090198091095
2015-06-04,student,0.977,0.987,0.10677344010677342,-0.46939516185467256,0.12666666666666668,0.08341675008341674,0.19027360694027354,0.149,0.10001668335001669,0.22355689022355688,-2.806854958324624,-2.875457637560257
2015-06-05,student,0.977,0.987,0.10677344010677342,-0.49770950247895496,0.126,0.08341675008341674,0.1901901901901902,0.14666666666666664,0.09676343009676343,0.22355689022355688,-2.601889849754637,-2.6459923526379416
