Threshold (u),Shape,Scale,Loc,KS_p,AD_p,Num_Exceedances,xi_std,sigma_std,xi_mean,sigma_mean,xi_rel,sigma_rel,stable,Fallback,FallbackReason,Stock,Tail
0.64676984278038,0.20461301961064782,0.4686170424259819,0,0.6865816832996767,0.75,188,0.006237967932320867,0.004422164050746972,0.20834952460138348,0.4642103660321936,0.02993991776490124,0.009526206821452627,True,False,,INFY.NS,upper
-0.666331221891072,0.3425630241309412,0.4545530763543367,0,0.7596422374401723,0.9033333333333333,188,0.016383060925949065,0.012558772507016171,0.33743681930976527,0.45774938860606135,0.04855149024325824,0.027435912630928955,True,False,,INFY.NS,lower
0.7453931485905018,-0.0014926417384347555,0.6361367437647318,0,0.5686858876696832,0.76,200,,,,,,,False,True,invalid,SBIN.NS,upper
-0.9368870914818405,0.09306694279519241,0.4999166319879266,0,0.9350104009522294,0.9333333333333333,156,0.008533160017320645,0.007102404527692369,0.08485380240846169,0.507163335655584,0.10056307165368697,0.014004175555138856,True,False,,SBIN.NS,lower
0.6425148834362723,0.19941145808600202,0.47220779020540843,0,0.6232418671237799,0.6633333333333333,188,0.007497565046603319,0.006127218552582136,0.2048296733652097,0.46616486574487587,0.03660389902197534,0.013143887219712921,True,False,,INFY.NS,upper
-0.6679612511270874,0.32815489489745775,0.4638710824653563,0,0.7809821951581468,0.7466666666666667,188,0.015935727167941324,0.011253726839363565,0.3258744796869975,0.46472015597003696,0.04890142577054004,0.02421613621150487,True,False,,INFY.NS,lower
1.0600859508458442,0.07057480113527308,0.5665846834202246,0,0.8779564013861639,0.88,125,0.0112719914009312,0.012262935018170829,0.07213254272682866,0.5646635014632394,0.15626774562684714,0.021717243578203416,True,False,,SBIN.NS,upper
-0.917541836123581,0.07209927148083319,0.5158026151353416,0,0.9204918484664969,0.9633333333333334,160,0.01300783079836234,0.011219868851738703,0.07256848015896733,0.5152229656415283,0.1792490207508466,0.021776724606988495,True,False,,SBIN.NS,lower
0.6462994413616505,0.1974763383361957,0.4721247439113659,0,0.6815063002038164,0.8,188,0.006103384858010903,0.0032301113266465656,0.19721352867682085,0.4715067732212362,0.03094810274670181,0.006850614755908956,True,False,,INFY.NS,upper
-0.6694428069741344,0.3238797422075844,0.4687487385872451,0,0.6180357879835523,0.63,188,0.015255774892260425,0.010453430300608623,0.32023242559146015,0.4709018168251984,0.04763969291269151,0.02219874654359538,True,False,,INFY.NS,lower
0.9806707711626748,0.08032704391003663,0.5591977571989561,0,0.9458974682500004,0.9566666666666667,144,0.005399032344028311,0.0045798755594279525,0.08554367789390138,0.5534565215780561,0.06311432762548949,0.008275041124493504,True,False,,SBIN.NS,upper
-0.9782446291045399,0.09401218717297272,0.47963162233942624,0,0.8193194645665228,0.8833333333333333,148,0.0164661010169757,0.013285553502669634,0.10083910504406966,0.4734724567259836,0.16329081239734727,0.028059822769712365,True,False,,SBIN.NS,lower
0.6592333762681464,0.20964210815531736,0.46236360088524653,0,0.6085230372421828,0.63,188,0.008055684306160651,0.005873813117606483,0.20484385219212187,0.46607308895680205,0.03932597354860099,0.012602772249146474,True,False,,INFY.NS,upper
-0.6755588317302562,0.33525567905052356,0.45690389685508986,0,0.716119722556605,0.7533333333333333,188,0.01107009487024302,0.009160100117389096,0.3230375838813207,0.46658201338438304,0.03426875100583498,0.01963234685071172,True,False,,INFY.NS,lower
0.9775575446995598,0.08400077333966131,0.555908729381567,0,0.8452484961969123,0.8733333333333333,144,0.010623378752569287,0.009348834402693205,0.09485088869793908,0.545023079032401,0.11200082338070787,0.017153097897724894,True,False,,SBIN.NS,upper
