,VaR violations,violations,n,kupiec_p,christoffersen_p,dq_stat1,dq_p1,dq_stat4,dq_p4,acerbi_szekely_stat,acerbi_szekely_crit,acerbi_szekely_p,mae_es,empirical_es_loss,mean_fz_loss,median_fz_loss
Parametric_t,0.04613516794819911,114.0,2471.0,0.3720600064719639,0.007356380942408425,9.560361004378338,0.008394483608064496,22.868418935568023,0.0003576878117421689,0.021064648267208552,-0.2016952761749082,0.5788,1.0466357320123114,-3.519362234439419,1.2445107009549894,0.8262085262938405
Historical,0.04734925131525698,117.0,2471.0,0.5420183384347306,0.011368401844386589,8.237412485740373,0.016265544499289408,23.522760124504565,0.00026809181908393764,0.00015967065643773815,-0.2016952761749082,0.5143,1.1029694857102579,-3.466476339504419,1.2605604325570752,0.8530785831262482
Normal,0.03804127883447997,94.0,2471.0,0.0044746275211083875,0.011168752208700505,14.26372723125236,0.0007992285439407665,30.81322447405259,1.0197152932711617e-05,-0.02940427050007166,-0.2016952761749082,0.4222,1.0725792369708422,-3.7614828881275657,1.2566418215575619,0.8507831455139427
GARCH,0.042897612302711455,106.0,2471.0,0.09719169135622441,0.12342457686337371,5.081670270878747,0.07880056316031203,8.765063659126438,0.11880995586686871,0.0331491029922617,-0.2016952761749082,0.6146,0.8519475394113423,-3.452873868548274,1.1570822611738516,0.7935510686546196
benchmark,0.042897612302711455,106.0,2471.0,0.09719169135622441,0.7839716261206073,2.672813150585481,0.26278828386951725,3.2149941644623485,0.6668790172545976,-0.0008628921791700161,-0.2016952761749082,0.5111,0.805009991985949,-3.390623887874875,1.129315703160535,0.7691707633129428
