Threshold (u),Shape,Scale,Loc,KS_p,AD_p,Num_Exceedances,xi_std,sigma_std,xi_mean,sigma_mean,xi_rel,sigma_rel,stable,Fallback,FallbackReason,Stock,Tail
0.8163655463643903,0.12733380268357616,0.5866372599973502,0,0.5518941036038676,0.7666666666666667,188,0.019731585401114245,0.02552700700916382,0.11354710652839194,0.6047882479720481,0.17377442954423641,0.042208172319284046,True,False,,HINDUNILVR.NS,upper
-0.7080126022976041,-0.08848390454429461,0.6240230459001531,0,0.7168315216266976,0.86,188,0.002482153116794616,0.0027391311942334884,-0.08440624664376141,0.6199920621492684,0.029407217136409706,0.004418010031544434,True,False,,HINDUNILVR.NS,lower
0.6467772670447492,0.20464143924561282,0.46860198021838834,0,0.6866963092472544,0.75,188,0.006221334231032419,0.004421246350699066,0.20836848228660051,0.4642107632455236,0.029857365491109292,0.00952422176630667,True,False,,INFY.NS,upper
-0.6663319508828234,0.34256436115586236,0.45454867480268657,0,0.7596976322475639,0.9033333333333333,188,0.016398345170179063,0.012561442148728931,0.3374294641333951,0.45774229842560915,0.048597844667524065,0.027442169791849987,True,False,,INFY.NS,lower
0.7453978576626435,-0.0014766472234284842,0.6361474513474202,0,0.5692963076034239,0.76,200,,,,,,,False,True,invalid,SBIN.NS,upper
-0.9368811784756401,0.09306694279519241,0.4999166319879266,0,0.9349369037559815,0.9333333333333333,156,0.008540540567932997,0.0071100739946752456,0.08485724608327178,0.5071527031140429,0.10064596667551952,0.014019591753769066,True,False,,SBIN.NS,lower
0.9176464132608776,-0.06324634799751885,0.611575356763585,0,0.7674360272509552,0.6966666666666667,180,0.006207602166137469,0.009281652133381077,-0.06575318569012875,0.6155718330482779,0.09440761169071803,0.015078097281738628,True,False,,TATAMOTORS.NS,upper
-1.3856713600521249,0.14732950955987553,0.44288524664332424,0,0.7252558996950738,0.9633333333333334,73,0.024955473681800393,0.018767621786342777,0.12931786731810438,0.4569264272638744,0.19297775527519156,0.04107361766748572,True,True,sparse,TATAMOTORS.NS,lower
0.8128066572376574,0.12563222239104377,0.5901246733418399,0,0.6598987822080239,0.7933333333333333,188,0.019344671317687166,0.02511094915216634,0.11057465376297419,0.6101492220344786,0.17494668904582017,0.04115542204066456,True,False,,HINDUNILVR.NS,upper
-0.7048870261511045,-0.10216682373039712,0.6354614990350869,0,0.9175489596446487,0.99,188,0.007877458389066685,0.0070140941169858665,-0.0941345489238099,0.6268193421355189,0.08368295851306319,0.011189976973572144,True,False,,HINDUNILVR.NS,lower
0.6424950509417655,0.19933210589355732,0.4722765422959917,0,0.6241437212325469,0.6633333333333333,188,0.007515823715665866,0.00616794494758949,0.20482202541239003,0.4661610292510012,0.03669440985943459,0.01323136089944317,True,False,,INFY.NS,upper
-0.6679511369611751,0.32812568456988694,0.4638869568088899,0,0.7810808557058108,0.7466666666666667,188,0.01595371374188186,0.011262195256783665,0.32583864933265266,0.4647472532836121,0.048962004000865096,0.024232945832132653,True,False,,INFY.NS,lower
1.0600981490619408,0.07065226608953847,0.56651253213218,0,0.8783858930090555,0.88,125,0.011259052931119744,0.012229917663340788,0.07216340803325778,0.5646420806253108,0.15602161369256112,0.021659592627600272,True,False,,SBIN.NS,upper
-0.9175462898771221,0.07216076600017243,0.5157480841932112,0,0.9206475253593669,0.9633333333333334,160,0.013020231072961514,0.011228872590541833,0.07259738213730589,0.5151971167689806,0.17934846816998487,0.02179529350437734,True,False,,SBIN.NS,lower
0.9094145226694844,-0.05596303271531251,0.6006703114594392,0,0.8173473876089566,0.8366666666666667,184,0.009752557550454134,0.014393278107430688,-0.062374605815758856,0.6100035218872675,0.15635459109297092,0.0235954012641531,True,False,,TATAMOTORS.NS,upper
-1.383773029794066,0.14718932337876744,0.44655072284830843,0,0.9739936052984419,0.9966666666666667,73,0.023725608697656223,0.01790151070839992,0.126955395326698,0.46244198725746366,0.1868814379080783,0.038710823875352504,True,True,sparse,TATAMOTORS.NS,lower
0.8063621178339624,0.11116853719523562,0.6080926029722372,0,0.5335775304824414,0.71,188,0.018195505095367326,0.02500318206371924,0.10276369557688787,0.6198895331664568,0.1770615899185675,0.040334898917637044,True,False,,HINDUNILVR.NS,upper
-0.7089874219633531,-0.0976947665573374,0.6318894165774671,0,0.8865489144000243,0.9733333333333334,188,0.00700987851559542,0.006522076203717542,-0.08702206644750592,0.6203208516582992,0.0805528757961087,0.010514036536321094,True,False,,HINDUNILVR.NS,lower
0.6462977272855286,0.1974763383361957,0.4721247439113659,0,0.6816218179657116,0.8,188,0.006107403923170961,0.0032396648191429923,0.19720582754481394,0.47151452516700054,0.03096969136009012,0.006870763417707942,True,False,,INFY.NS,upper
-0.669432006881389,0.32390632698475397,0.4687568530594702,0,0.6183777111117859,0.63,188,0.015254277109360273,0.010453754594022951,0.3202487998478596,0.4708997152648346,0.04763258016979708,0.022199534281197014,True,False,,INFY.NS,lower
0.9806588768254201,0.08029851398697635,0.5592409414894826,0,0.9457713379717556,0.9566666666666667,144,0.0054076894940801095,0.00460736571127703,0.08553835928001553,0.5534633959874368,0.0632194597535251,0.00832460766409119,True,False,,SBIN.NS,upper
-0.9782570287934965,0.09403631296356395,0.4796166307238955,0,0.8188903834192078,0.8833333333333333,148,0.016429357971372287,0.01327201481534644,0.10084885435149764,0.47346486166117513,0.16291068895044336,0.02803167797598355,True,False,,SBIN.NS,lower
0.9108626598184489,-0.055455958922839554,0.5995071586837994,0,0.8303242636986284,0.8433333333333334,184,0.009829990641538697,0.014619120834596298,-0.06118297610798772,0.6079007711118474,0.1606654278721997,0.024048531090646075,True,False,,TATAMOTORS.NS,upper
-1.405417488103527,0.11737758543745043,0.4731685258290976,0,0.9456519265545426,0.9366666666666666,69,0.020447364440509628,0.02257093889446123,0.10554775959580136,0.4826669166188564,0.19372616322271405,0.046762969761722735,True,True,sparse,TATAMOTORS.NS,lower
0.8050396732648515,0.1181681698911928,0.5985260075334006,0,0.562173093523535,0.67,188,0.019757549663922153,0.02693272301983297,0.10673393125983255,0.6143792737534187,0.18511027917374923,0.0438372903059056,True,False,,HINDUNILVR.NS,upper
-0.7099137092575677,-0.08735960309183287,0.6228572230392273,0,0.8331968622144608,0.96,188,0.006672754954723989,0.006815962381254168,-0.08338942557282597,0.6189533872228804,0.08001918838863604,0.011012076857217397,True,False,,HINDUNILVR.NS,lower
